match_date,round,year,home_team,away_team,venue,match_winner,home_recent_5_win_rate,home_win_streak,home_recent_5_avg_score,home_days_rest,away_recent_5_win_rate,away_win_streak,away_recent_5_avg_score,away_days_rest,h2h_matches,h2h_current_home_wins,h2h_current_away_wins,h2h_draws,h2h_current_home_win_rate,home_pre_match_ladder_rank,home_pre_match_points,home_pre_match_percentage,away_pre_match_ladder_rank,away_pre_match_points,away_pre_match_percentage
1983-03-26,1,1983,Carlton Blues,Richmond Tigers,Princes Park,Home Win,,0,,,,0,,,0.0,0.0,0.0,0.0,,1,0.0,,9,0.0,
1983-03-26,1,1983,Geelong Cats,Western Bulldogs,Waverley Park,Home Win,,0,,,,0,,,0.0,0.0,0.0,0.0,,5,0.0,,12,0.0,
1983-03-26,1,1983,Melbourne Demons,Collingwood Magpies,Melbourne Cricket Ground,Away Win,,0,,,,0,,,0.0,0.0,0.0,0.0,,7,0.0,,2,0.0,
1983-03-26,1,1983,Fitzroy Lions,Hawthorn Hawks,Junction Oval,Away Win,,0,,,,0,,,0.0,0.0,0.0,0.0,,4,0.0,,6,0.0,
1983-03-26,1,1983,North Melbourne Kangaroos,St Kilda Saints,Aegis Park,Home Win,,0,,,,0,,,0.0,0.0,0.0,0.0,,8,0.0,,10,0.0,
1983-03-27,1,1983,Sydney Swans,Essendon Bombers,Sydney Cricket Ground,Home Win,,0,,,,0,,,0.0,0.0,0.0,0.0,,11,0.0,,3,0.0,
1983-04-02,2,1983,Collingwood Magpies,Geelong Cats,Victoria Park,Away Win,1.0,1,135.0,7.0,1.0,1,106.0,7.0,0.0,0.0,0.0,0.0,,3,4.0,108.0,2,4.0,141.33
1983-04-02,2,1983,Richmond Tigers,Melbourne Demons,Melbourne Cricket Ground,Away Win,0.0,0,76.0,7.0,0.0,0,125.0,7.0,0.0,0.0,0.0,0.0,,6,0.0,55.88,4,0.0,92.59
1983-04-02,2,1983,Western Bulldogs,Carlton Blues,Western Oval,Home Win,0.0,0,75.0,7.0,1.0,1,136.0,7.0,0.0,0.0,0.0,0.0,,5,0.0,70.75,1,4.0,178.95
1983-04-04,2,1983,Essendon Bombers,St Kilda Saints,Windy Hill,Home Win,0.0,0,110.0,8.0,0.0,0,87.0,9.0,0.0,0.0,0.0,0.0,,7,0.0,99.1,9,0.0,87.0
1983-04-04,2,1983,Hawthorn Hawks,Sydney Swans,Princes Park,Home Win,1.0,1,131.0,9.0,1.0,1,111.0,8.0,0.0,0.0,0.0,0.0,,3,4.0,116.96,6,4.0,100.91
1983-04-04,2,1983,North Melbourne Kangaroos,Fitzroy Lions,Waverley Park,Away Win,1.0,1,100.0,9.0,0.0,0,112.0,9.0,0.0,0.0,0.0,0.0,,4,4.0,114.94,10,0.0,85.5
1983-04-09,3,1983,Carlton Blues,Collingwood Magpies,Waverley Park,Home Win,0.5,0,109.0,7.0,0.5,0,115.5,7.0,0.0,0.0,0.0,0.0,,4,4.0,124.57,8,4.0,102.21
1983-04-09,3,1983,Fitzroy Lions,Essendon Bombers,Junction Oval,Home Win,0.5,1,100.0,5.0,0.5,1,120.5,5.0,0.0,0.0,0.0,0.0,,5,4.0,114.94,3,4.0,133.15
1983-04-09,3,1983,Geelong Cats,Richmond Tigers,GMHBA Stadium,Home Win,1.0,2,103.5,7.0,0.0,0,88.0,7.0,0.0,0.0,0.0,0.0,,2,8.0,121.05,11,0.0,69.02
